Guitar Route,Sections Shown,Inventory / Visibility Notes
Strat Parts,Bridges & Tremolos | Machine Heads / Tuners | Pickguards | Knobs & Tips | Electronics | Hardware | Nuts & Saddles | Bodies | Necks,Pickups hidden until stocked
Tele Parts,Bridges | Machine Heads / Tuners | Pickguards | Knobs & Tips | Electronics | Hardware | Nuts & Saddles | Bodies | Necks,Pickups hidden until stocked
Les Paul Parts,Tune-o-Matic Bridges / Stopbar Tailpieces | Machine Heads / Tuners | Pickguards | Knobs & Tips | Electronics | Hardware | Nuts & Saddles,No Bodies/Necks unless stocked later; Pickups hidden until stocked
Bass Parts,Bass Bridges | Bass Machine Heads / Tuners | Knobs & Tips | Electronics | Hardware | Bass Nuts,No Bass Pickguards; Pickups hidden until stocked
Acoustic Parts,Acoustic Bridges | Acoustic Machine Heads / Tuners,Acoustic bridges are INCOMING; do not add saddles/pickups/pins until stocked/planned
